StudyPeriodUId|StartYear|StartMonth|EndYear|EndMonth|PublicationUId|Comments
1|2001|1|2008|12|1|
2|2000|1|2001|12|2|
3|2003|1|2011|12|3|
4|1978|1|2000|12|4|
5|2001|1|2009|12|5|
6|2007|1|2008|12|6|
8|2004|1|2011|12|9|
9|2005|1|2005|12|10|
10|1990|1|1996|12|11|
11|2016|11|2016|11|12|
12|2004|1|2011|12|13|
13|2005|1|2012|12|14|
14|2003|1|2003|12|15|
15|1997|1|2002|12|21|
16|1992|4|2002|3|22|
17|1987|1|1992|12|23|
18|1995|1|1997|12|27|
19|2001|1|2004|12|28|
20|1994|1|1995|12|29|
21|1984|5|1992|9|30|
22|2002|1|2002|12|31|
23|1995|1|1998|12|32|
24|2001|6|2003|5|33|
25|1991|7|1996|6|35|
26|2002|1|2009|12|36|
27|1996|1|2000|12|37|
28|2004|1|2005|12|38|
29|1995|1|1998|12|39|
30|1987|1|1994|12|40|
31|2002|9|2003|8|41|
32|1994|1|2005|12|42|
33|1998|1|2010|5|43|
34|1997|7|1998|12|44|
35|1992|11|1994|9|45|
36|1990|1|1994|12|46|
37|1986|1|1992|12|47|
38|2010|1|2010|12|48|
39|2006|1|2009|12|49|
40|1996|1|2003|12|50|
41|1996|1|2003|12|51|
42|1994|1|1995|12|52|
43|2000|1|2005|12|53|
44|1987|1|1994|12|54|
45|1981|1|1993|12|55|
46|1987|1|1998|12|56|
47|2000|1|2005|12|57|
48|1977|1|1989|12|58|
49|1985|1|1989|12|59|
50|1999|1|2006|12|60|April to August
51|1998|1|2001|12|61|
52|1997|1|2001|12|62|
53|1993|1|2004|12|64|
